lang	source
de,da,fr,lb,ms,nl,oc,sv,fr_CA,fr_CI	Genre
de,it,pl,fr_CA,fr_CI	Bitrate:
es,es_419,es_AR,es_CO,es_MX,ca,es_ES,fr_CA,fr_CI	Error:
pt_BR,de,el,id,it,nl,ro,fr_CA,fr_CI	Deck %1
hu,da,de,el,eu,id,nb,nl,pl,pt*,ro,sn,tr,vi,fr_CA,fr_CI	Sampler %1
hu,id,nl,sn,fr_CA,fr_CI	Auxiliary %1
*	Crossfader
*	Cue
hu,ca,de,et,fr,nb,pl,ro,sv,tr,fr_CA,fr_CI	Port
hu,cs,de,et,fi,fr,nl,pl,pt_BR,ro,ru,sl,vi,zh*,fr_CA,fr_CI	A
hu,pt,pt_PT,et,fi,nl,pl,pt_BR,ro,zh*,fr_CA,fr_CI	Bb
hu,et,fi,fr,nl,pl,pt_BR,ro,ru,sl,vi,zh*,fr_CA,fr_CI	B
hu,cs,de,et,fi,fr,nl,pl,pt_BR,ro,ru,sl,vi,zh*,pt,fr_CA,fr_CI	C
hu,fi,nl,pl,pt_BR,ro,sl,zh*,pt,fr_CA,fr_CI	Db
hu,pt,pt_PT,cs,de,et,fi,fr,nl,pl,pt_BR,ro,ru,sl,vi,zh*,fr_CA,fr_CI	D
hu,et,fi,nl,pl,pt_BR,ro,sl,zh*,fr_CA,fr_CI	Eb
hu,cs,de,et,fi,fr,nl,pl,pt_BR,ro,ru,sl,vi,zh*,pt,fr_CA,fr_CI	E
hu,cs,de,et,fi,fr,nl,pl,pt_BR,ro,ru,sl,vi,zh*,pt,fr_CA,fr_CI	F
hu,et,fi,nl,pl,pt_BR,ro,sl,zh_CN,fr_CA,fr_CI	F#
hu,cs,de,et,fi,fr,nl,pl,pt_BR,ro,ru,sl,vi,zh*,fr_CA,fr_CI	G
hu,et,fi,nl,pl,pt_BR,ro,sl,zh*,pt,fr_CA,fr_CI	Ab
hu,et,fi,nl,pl,pt_BR,ro,sl,zh,zh_CN,zh_HK,fr_CA,fr_CI	Am
hu,et,fi,nl,pl,pt_BR,ro,zh*,pt,fr_CA,fr_CI	Bbm
hu,et,fi,nl,pl,pt_BR,ro,zh*,pt,fr_CA,fr_CI	Bm
hu,et,fi,nl,pl,pt_BR,ro,sl,vi,zh,zh_CN,zh_HK,fr_CA,fr_CI	Cm
hu,et,fi,nl,pl,pt_BR,ro,sl,zh_CN,pt,fr_CA,fr_CI	C#m
hu,et,fi,nl,pl,pt_BR,ro,sl,zh*,pt,fr_CA,fr_CI	Dm
hu,et,fi,nl,pl,pt_BR,ro,sl,zh,zh_CN,zh_HK,pt,fr_CA,fr_CI	Ebm
hu,de,et,fi,nl,pl,pt_BR,ro,sl,vi,zh*,pt,fr_CA,fr_CI	Em
hu,et,fi,nl,pl,pt_BR,ro,sl,zh_CN,fr_CA,fr_CI	Fm
hu,et,fi,nl,pl,pt_BR,ro,sl,zh,zh_CN,zh_HK,pt,fr_CA,fr_CI	F#m
hu,et,fi,nl,pl,pt_BR,ro,sl,zh,zh_CN,zh_HK,pt,fr_CA,fr_CI	Gm
hu,et,fi,nl,pl,pt_BR,ro,sl,zh,zh_CN,zh_HK,fr_CA,fr_CI	G#m
*	10Hz
*	10ms
*	5ms
*	100Hz
*	250ms
*	50ms
hu,bs,de,eo,eu,fr,hr,it,lb,lt,lv,nb,nl,pt_PT,ro,sk,sv,vi,fr_CA,fr_CI	Min
hu,bs,de,eu,fr,hr,it,lb,nl,ro,sk,sv,vi,fr_CA,fr_CI	Max
pt,pt_BR,ca,de,fr,it,nl,pl,pt_PT,sl,sv,fr_CA,fr_CI	Tremolo
pt_BR,da,de,id,it,nl,pt*,ro,fr_CA,fr_CI	Mixer
pt_BR,de,it,nl,pt*,fr_CA,fr_CI	Reloop
de,es*,nl,pt_BR,vi	Hotcues
de,es*,fr_CA,fr_CI	Hotcues %1-%2
nl,pl,fr_CA,fr_CI	Hotcue index
de,it,nl,pl,es_ES,fr_CA,fr_CI	Hotcue #%1
fr,de,sv,fr_CA,fr_CI	Information
fr,es*,fr_CA,fr_CI	Simple
ca,es*,fr_CA,fr_CI	Color
nl,fr_CA,fr_CI	is
nl	Cover
nl,fr_CA,fr_CI	Track BPM: 
nl,fr_CA,fr_CI	MIDI Controller
nl,fr_CA,fr_CI	Help
nl,fr_CA,fr_CI	Later
nl,fr_CA,fr_CI	Auxiliary
nl,vi,fr_CA,fr_CI	Quantize
nl,fr_CA,fr_CI	Biquad Equalizer
nl,ro,sv,fr_CA,fr_CI	Live Mix
nl,sv,fr_CA,fr_CI	Center 2
nl,fr_CA,fr_CI	Waveform
nl,fr_CA,fr_CI	Meta Knob Link
nl,fr_CA,fr_CI	Effect Parameter
nl,fr_CA,fr_CI	Equalizer Parameter
nl,fr_CA,fr_CI	Vinyl Status
nl,fr_CA,fr_CI	Track Album
nl,fr_CA,fr_CI	audio interface
nl,fr_CA,fr_CI	HID Interface %1: 
ro,fr_CA,fr_CI	Sum
sk,fr_CA,fr_CI	M3U Playlist (*.m3u)
sn,fr_CA,fr_CI	Slip Mode
sn,sv,fr_CA,fr_CI	Sync
sn,fr_CA,fr_CI	Deck %1 Quick Effect Super Knob
sn,fr_CA,fr_CI	Quick Effect
sq_AL,fr_CA,fr_CI	Quick Links
sv,fr_CA,fr_CI	Full
sv,fr_CA,fr_CI	Period
vi,fr_CA,fr_CI	Shuffle
vi,fr_CA,fr_CI	Relink
nl,fr_CA,fr_CI	Vinyl Type
nl,sl,fr_CA,fr_CI	OpenGL status
nl,fr_CA,fr_CI	Waveforms
nl,fr_CA,fr_CI	&Help
nl,fr_CA,fr_CI	Modplug Decoder
nl,sv,fr_CA,fr_CI	Center 1
nl,fr_CA,fr_CI	Label...
sn,fr_CA,fr_CI	Super Knob
ca,es*,gl,ro,fr_CA,fr_CI	Control
nl,fr_CA,fr_CI	Volume Fader
nl,fr_CA,fr_CI	Mid EQ
nl,fr_CA,fr_CI	Loop %1 Beats
nl,fr_CA,fr_CI	Loop Roll %1 Beats
nl,fr_CA,fr_CI	Sync / Sync Lock
nl,fr_CA,fr_CI	Samplers
nl,pt_PT,ro,fr_CA,fr_CI	Website
nl,oc,pl,fr_CA,fr_CI	Live mix
nl,sv,fr_CA,fr_CI	Metadata
nl,fr_CA,fr_CI	Mapping Info
nl,fr_CA,fr_CI	Intro start
nl,fr_CA,fr_CI	Type:
nl,fr_CA,fr_CI	Equalizer Plugin
nl,sv,vi	Reverb
nl,it,fr_CA,fr_CI	Encoder
it,nl,pl,ro,vi,fr_CA,fr_CI	Downsampling
it,nl,fr_CA,fr_CI	32 bits float
nl,it,fr_CA,fr_CI	Queen Mary Key Detector
it,fr_CA,fr_CI	Pitch
it,nl,zh*,fr_CA,fr_CI	Hot cues
it,fr_CA,fr_CI	&File
it,nl,fr_CA,fr_CI	database
sn	Key
lb,nl,fr_CA,fr_CI	Crossfader Curve
nb,nn,ro,sv,sq_AL	Artist
nl	Cover Art
nl,fr_CA,fr_CI	Scan
nl,pt*,fr_CA,fr_CI	Item
ca,fr_CA,fr_CI	Controls
ca,de,fr,nb,oc,pl,ro,sl,sv,sq_AL,fr_CA,fr_CI	Format
ca,fr,nl,ro,sv,fr_CA,fr_CI	Permanent
ca,de,es*,fr,gl,pt*,ro,sv,tr,fr_CA,fr_CI	Global
ca,fr_CA,fr_CI	Colors
ca,de,es*,it,pl,pt*,sv,fr_CA,fr_CI	Pitch Bend
ca,de,es*,fr,pl,pt*,ro,sv,tr,fr_CA,fr_CI	Normal
ca,de,es*,fr,it,nl,pl,pt*,ro,sv,fr_CA,fr_CI	Script
ca,nl,fr_CA,fr_CI	Moog Ladder 4 Filter
ca,es*,fr_CA,fr_CI	Mid/Side
ca,es*,fr,sl,fr_CA,fr_CI	Triplet
ca,cs,de,es*,et,fi,fr,gl,it,nl,pt*,sl,sv,tr,fr_CA,fr_CI	Tempo
*	MESA vblank_mode = 1
ca,de,fr,it,nl,pl,sv,es*,fr_CA,fr_CI	Intro
cs,de,fr,sl	Formant
da,es,eu,fr,hu,id,it,lv,nb,oc,pl,pt*,ro,ru,sk,sv,sq_AL,fr_CA,fr_CI	Auto DJ
da,fr,nb,nl,nn,fr_CA,fr_CI	Type
de,nl,pl,sv	Status
da,de,it,nl,fr_CA,fr_CI	Computer
da,lb,nl,fr_CA,fr_CI	USB Controller
da,de,id,nl,sk,sl,sv,fr_CA,fr_CI	Parameter
da,de,id,nl,sl,sv,fr_CA,fr_CI	Parameter %1
da,nl,fr_CA,fr_CI	Platform:
fr,fr_CA,fr_CI	Description
fr,fr_CA,fr_CI	Microphone %1
it,sn,fr_CA,fr_CI	Slot %1
fr,gl,it,nl,pt*,fr_CA,fr_CI	Volume
fr,fr_CA,fr_CI	Orientation
fr,fr_CA,fr_CI	Gain
fr,fr_CA,fr_CI	Options
fr,fr_CA,fr_CI	Action
fr,nl,ro,fr_CA,fr_CI	sec.
fr,fr_CA,fr_CI	Compression
fr,nl,fr_CA,fr_CI	Type (#)
fr	Placement
fr,gl,pt*,fr_CA,fr_CI	Interface
fr,fr_CA,fr_CI	Question
fr,fr_CA,fr_CI	Microphone
fr,fr_CA,fr_CI	%1 minutes
fr,it,fr_CA,fr_CI	Bypass Fr.
fr,sv,fr_CA,fr_CI	Gain 1
fr,sv,fr_CA,fr_CI	Gain 2
fr,it,ru,es*,fr_CA,fr_CI	Queen Mary University London
fr,nl	Distortion
fr,de	Ratio (:1)
fr,de	Ratio
fr,fr_CA,fr_CI	Variance
fr,fr_CA,fr_CI	&Options
fr,nl,fr_CA,fr_CI	Focus
hy,vi,zh_CN,zh_TW	_copy
it,nl,fr_CA,fr_CI	Loop In
it,nl,fr_CA,fr_CI	Loop Out
it,nl,fr_CA,fr_CI	Keylock
it,nl,fr_CA,fr_CI	Loop Roll Beats
it,nl,fr_CA,fr_CI	Waveform Zoom
it,fr_CA,fr_CI	File:
it,nl,pt_BR,fr_CA,fr_CI	Log
it,nl,pl,pt_BR,pt_PT,fr_CA,fr_CI	Login
it,fr_CA,fr_CI	Fine
it,fr_CA,fr_CI	Deck Equalizers
it,nl,es*,fr_CA,fr_CI	Lead-In
it,fr_CA,fr_CI	Frame rate
it,nl,pt*,fr_CA,fr_CI	Caching
it,nl,fr_CA,fr_CI	skin
it,es*,fr_CA,fr_CI	decks
de,fr_CA,fr_CI	Timer (Fallback)
de,fr,it,nl,pl,sv,es*,fr_CA,fr_CI	Outro
de,nl	Loops
el,pt_BR,fr_CA,fr_CI	Tool tips
el,es*,eu,id,it,lb,nb,pt*,tr,fr_CA,fr_CI	Scratching
es*,fr,it,nl,pt*,sq_AL,fr_CA,fr_CI	&Ok
es*,pt_BR,sv,fr_CA,fr_CI	Switch
es*,pt*	Manual
et,hr,it,tr,vi,fr_CA,fr_CI	BPM Tap
fr,it,nl,zh*	 pt
it,fr_CA,fr_CI	Password
nl,sv,vi,fr_CA,fr_CI	Equalizers
nl,it,fr_CA,fr_CI	Controllers
nl,fr_CA,fr_CI	Audio Buffer
nl,sv,fr_CA,fr_CI	OpenGL Direct Rendering
nl,zh*	Hard Clip
nl,zh*	Hard
sv,de,fr_CA,fr_CI	(status text)
da,fr_CA,fr_CI	Input
de,nl,fr_CA,fr_CI	Moog Filter
de,fr,it,nl,pt*,ro,sv,fr_CA,fr_CI	Phaser
de,it,nl,pt_PT,ru,fr_CA,fr_CI	Bessel4 LV-Mix Isolator
de,it,nl,pt_PT,ru,sv,fr_CA,fr_CI	Bessel8 LV-Mix Isolator
de,nl,pt,pt_PT,ru,sv,fr_CA,fr_CI	LinkwitzRiley8 Isolator
de,es*,fr,gl,fr_CA,fr_CI	Balance
de,fr,fr_CA,fr_CI	Phase
de,it,nl,es*	Drive
de,fr,it,pl,fr_CA,fr_CI	Passthrough
de,it,nl	Glitch
de,it,fr_CA,fr_CI	Beatgrids
de,nl,pt_BR,pt_PT,ro,vi,fr_CA,fr_CI	Sampler
de,es*,it,nl,pt_BR,ro,vi,fr_CA,fr_CI	Hotcue
de,fr_CA,fr_CI	Loop-In Marker
de,fr_CA,fr_CI	Loop-Out Marker
de,it,fr_CA,fr_CI	Beatloop
nl,it,zh*,fr_CA,fr_CI	Booth
de,it,nl,pt_BR,ro,fr_CA,fr_CI	Deck
de,fr,it,nl,pl,fr_CA,fr_CI	Echo
de,it,nl,sv,fr_CA,fr_CI	Feedback
de,nl,sl,sv,fr_CA,fr_CI	Filter
de,fr_CA,fr_CI	Regeneration
de,it,nl,pl,pt,pt_PT,ru,zh*,fr_CA,fr_CI	BW
de,it,lb,nn,pl,sn,sq_AL,vi	Bitrate
nl	Track #
de	Name
de,et,fr,nb,nl,pl,ro,sl,sq_AL,fr_CA,fr_CI	Transport
de,lt,nl,pt_BR,fr_CA,fr_CI	Cues
de,es*,hu,it,nl,pt_BR,ro,tr,vi,zh,zh_HK,fr_CA,fr_CI	Hotcue %1
de,pt,pt_BR,vi,fr_CA,fr_CI	Looping
de,hu,it,nl,sk,fr_CA,fr_CI	Stop
de,fr,ru,sn,fr_CA,fr_CI	Dry/Wet
de,el,it,nl,pt_BR,pt_PT,fr_CA,fr_CI	Skin
de,it,nl	Controller
de,nl,pl,it,fr_CA,fr_CI	BPM / Beatgrid
de,nl,fr_CA,fr_CI	Loop Beats
de,fr,fr_CA,fr_CI	Navigation
de,et,it,nl,pl,pt_BR,tr,fr_CA,fr_CI	Host
de,fr_CA,fr_CI	Controller Name
de,fr_CA,fr_CI	Name:
de,fr_CA,fr_CI	Mappings
de,it,nl	Multi-Sampling
de,sv,sq_AL,fr_CA,fr_CI	Version:
de,lb,oc,pt_BR,pt_PT,fr_CA,fr_CI	Linear
de,nl,vi,fr_CA,fr_CI	Tags
de,fr_CA,fr_CI	Sound API
de,it,ja,nl,pt*,ro,fr_CA,fr_CI	Deck 1
de,it,ja,nl,pt*,ro,fr_CA,fr_CI	Deck 2
de,it,ja,nl,fr_CA,fr_CI	Deck 3
de,it,ja,nl,fr_CA,fr_CI	Deck 4
de,fr,it,nl,sl,fr_CA,fr_CI	 fps
de,nl,fr_CA,fr_CI	Decks
de,nl,fr_CA,fr_CI	Track
de,nl,fr_CA,fr_CI	Tracks
it	legacy
nl,fr_CA,fr_CI	Waveform type
es*,it,nl,zh*	Knee (dBFS)
es*,it,nl,zh*	Knee
es*,nl,de	Release
it,nl	Auto Makeup Gain
it,nl	Makeup
it,fr_CA,fr_CI	controllers
nl	&Reset
nl	Compressor
nl,de	Release (ms)
it	Tempo Tap
zh*	Soft Clipping
zh*	Hard Clipping
es,es_419,es_AR,es_CO,es_ES,es_MX,it	No
nl,sq_AL,es,es_419,es_AR,es_CO,es_ES,es_MX	VID:
nl	Product ID
nl,sq_AL,es,es_419,es_AR,es_CO,es_ES,es_MX	PID:
nl,fr_CA,fr_CI	Lossy
nl,fr_CA,fr_CI	Lossless
nl	Top
nl,de	OpenGL Status
nl	Stem Label
nl	Stem Mute
sq_AL	Artist + Album
sq_AL,it,fr_CA,fr_CI	Off
de	Attack (ms)
de	Attack
fr,it	Ctrl+f
fr	Ctrl+Shift+F
it,fr_CA,fr_CI	Mixxx %1.%2 Development Team
it	Okay
sv,fr_CA,fr_CI	Decay
sv,fr_CA,fr_CI	Kill Low
sv,fr_CA,fr_CI	Kill Mid
sv,fr_CA,fr_CI	Kill High
tr,fr_CA,fr_CI	Mount
vi,fr_CA,fr_CI	Samplerate
fr_CA,fr_CI	Remove Crate as Track Source
fr_CA,fr_CI	Add Crate as Track Source
fr_CA,fr_CI	Add to Auto DJ Queue (replace)
fr_CA,fr_CI	Crate Creation Failed
fr_CA,fr_CI	Channels
fr_CA,fr_CI	Last Played
fr_CA,fr_CI	Devices
fr_CA,fr_CI	Removable Devices
fr_CA,fr_CI	Music Directory Added
fr_CA,fr_CI	You added one or more music directories. The tracks in these directories won't be available until you rescan your library. Would you like to rescan now?
fr_CA,fr_CI	"Computer" lets you navigate, view, and load tracks from folders on your hard disk and external devices.
fr_CA,fr_CI	Filename
fr_CA,fr_CI	File Modified
fr_CA,fr_CI	File Created
fr_CA,fr_CI	Mixxx Library
fr_CA,fr_CI	Could not load the following file because it is in use by Mixxx or another application.
fr_CA,fr_CI	The file '%1' could not be found.
fr_CA,fr_CI	The file '%1' could not be loaded.
fr_CA,fr_CI	The file '%1' is empty and could not be loaded.
fr_CA,fr_CI	Mixxx is an open source DJ software. For more information, see: 
fr_CA,fr_CI	Starts Mixxx in full-screen mode
fr_CA,fr_CI	Use a custom locale for loading translations. (e.g 'fr')
fr_CA,fr_CI	Top-level directory where Mixxx should look for its resource files such as MIDI mappings, overriding the default installation location.
fr_CA,fr_CI	Path the debug statistics time line is written to
fr_CA,fr_CI	Causes Mixxx to display/log all of the controller data it receives and script functions it loads
fr_CA,fr_CI	Enables developer-mode. Includes extra log info, stats on performance, and a Developer tools menu.
fr_CA,fr_CI	Loads experimental QML GUI instead of legacy QWidget skin
fr_CA,fr_CI	Enables safe-mode. Disables OpenGL waveforms, and spinning vinyl widgets. Try this option if Mixxx is crashing on startup.
fr_CA,fr_CI	[auto|always|never] Use colors on the console output.
fr_CA,fr_CI	Sets the verbosity of command line logging.\ncritical - Critical/Fatal only\nwarning  - Above + Warnings\ninfo     - Above + Informational messages\ndebug    - Above + Debug/Developer messages\ntrace    - Above + Profiling messages
fr_CA,fr_CI	Sets the the logging level at which the log buffer is flushed to mixxx.log. <level> is one of the values defined at --log-level above.
fr_CA,fr_CI	Breaks (SIGINT) Mixxx, if a DEBUG_ASSERT evaluates to false. Under a debugger you can continue afterwards.
fr_CA,fr_CI	Load the specified music file(s) at start-up. Each file you specify will be loaded into the next virtual deck.
fr_CA,fr_CI	Remove Color
fr_CA,fr_CI	Add Color
fr_CA,fr_CI	Remove Palette
fr_CA,fr_CI	Assign to Hotcue Number
fr_CA,fr_CI	Edited
fr_CA,fr_CI	Do you really want to remove the palette permanently?
fr_CA,fr_CI	No control chosen.
fr_CA,fr_CI	Group
fr_CA,fr_CI	Value
fr_CA,fr_CI	Headphone Output
fr_CA,fr_CI	Preview Deck %1
fr_CA,fr_CI	Reset to default
fr_CA,fr_CI	Effect Rack %1
fr_CA,fr_CI	Headphone mix (pre/main)
fr_CA,fr_CI	Toggle headphone split cueing
fr_CA,fr_CI	Headphone delay
fr_CA,fr_CI	Strip-search through track
fr_CA,fr_CI	Play button
fr_CA,fr_CI	Set to full volume
fr_CA,fr_CI	Set to zero volume
fr_CA,fr_CI	Stop button
fr_CA,fr_CI	Jump to start of track and play
fr_CA,fr_CI	Jump to end of track
fr_CA,fr_CI	Reverse roll (Censor) button
fr_CA,fr_CI	Headphone listen button
fr_CA,fr_CI	Mute button
fr_CA,fr_CI	Toggle repeat mode
fr_CA,fr_CI	Mix orientation (e.g. left, right, center)
fr_CA,fr_CI	Set mix orientation to left
fr_CA,fr_CI	Set mix orientation to center
fr_CA,fr_CI	Set mix orientation to right
fr_CA,fr_CI	Toggle slip mode
fr_CA,fr_CI	Increase BPM by 1
fr_CA,fr_CI	Decrease BPM by 1
fr_CA,fr_CI	Increase BPM by 0.1
fr_CA,fr_CI	Decrease BPM by 0.1
fr_CA,fr_CI	BPM tap button
fr_CA,fr_CI	Toggle quantize mode
fr_CA,fr_CI	One-time beat sync (tempo only)
fr_CA,fr_CI	One-time beat sync (phase only)
fr_CA,fr_CI	Toggle keylock mode
fr_CA,fr_CI	Vinyl Control
fr_CA,fr_CI	Toggle vinyl-control cueing mode (OFF/ONE/HOT)
fr_CA,fr_CI	Toggle vinyl-control mode (ABS/REL/CONST)
fr_CA,fr_CI	Pass through external audio into the internal mixer
fr_CA,fr_CI	Cue button
fr_CA,fr_CI	Set cue point
fr_CA,fr_CI	Go to cue point
fr_CA,fr_CI	Go to cue point and play
fr_CA,fr_CI	Go to cue point and stop
fr_CA,fr_CI	Preview from cue point
fr_CA,fr_CI	Cue button (CDJ mode)
fr_CA,fr_CI	Stutter cue
fr_CA,fr_CI	Set, preview from or jump to hotcue %1
fr_CA,fr_CI	Clear hotcue %1
fr_CA,fr_CI	Set hotcue %1
fr_CA,fr_CI	Jump to hotcue %1
fr_CA,fr_CI	Jump to hotcue %1 and stop
fr_CA,fr_CI	Jump to hotcue %1 and play
fr_CA,fr_CI	Preview from hotcue %1
fr_CA,fr_CI	Loop In button
fr_CA,fr_CI	Loop Out button
fr_CA,fr_CI	Loop Exit button
fr_CA,fr_CI	Move loop forward by %1 beats
fr_CA,fr_CI	Move loop backward by %1 beats
fr_CA,fr_CI	Create %1-beat loop
fr_CA,fr_CI	Create temporary %1-beat loop roll
fr_CA,fr_CI	Library
fr_CA,fr_CI	Headphone Mix
fr_CA,fr_CI	Headphone Split Cue
fr_CA,fr_CI	Headphone Delay
fr_CA,fr_CI	Play
fr_CA,fr_CI	Fast Rewind
fr_CA,fr_CI	Fast Rewind button
fr_CA,fr_CI	Fast Forward
fr_CA,fr_CI	Fast Forward button
fr_CA,fr_CI	Strip Search
fr_CA,fr_CI	Play Reverse
fr_CA,fr_CI	Play Reverse button
fr_CA,fr_CI	Reverse Roll (Censor)
fr_CA,fr_CI	Jump To Start
fr_CA,fr_CI	Jumps to start of track
fr_CA,fr_CI	Play From Start
fr_CA,fr_CI	Stop And Jump To Start
fr_CA,fr_CI	Stop playback and jump to start of track
fr_CA,fr_CI	Jump To End
fr_CA,fr_CI	Full Volume
fr_CA,fr_CI	Zero Volume
fr_CA,fr_CI	Track Gain
fr_CA,fr_CI	Track Gain knob
fr_CA,fr_CI	Mute
fr_CA,fr_CI	Eject
fr_CA,fr_CI	Headphone Listen
fr_CA,fr_CI	Headphone listen (pfl) button
fr_CA,fr_CI	Repeat Mode
fr_CA,fr_CI	Orient Left
fr_CA,fr_CI	Orient Center
fr_CA,fr_CI	Orient Right
fr_CA,fr_CI	Adjust Beatgrid Faster +.01
fr_CA,fr_CI	Increase track's average BPM by 0.01
fr_CA,fr_CI	Adjust Beatgrid Slower -.01
fr_CA,fr_CI	Decrease track's average BPM by 0.01
fr_CA,fr_CI	Move Beatgrid Earlier
fr_CA,fr_CI	Adjust the beatgrid to the left
fr_CA,fr_CI	Move Beatgrid Later
fr_CA,fr_CI	Adjust the beatgrid to the right
fr_CA,fr_CI	Adjust Beatgrid
fr_CA,fr_CI	Align beatgrid to current position
fr_CA,fr_CI	Adjust Beatgrid - Match Alignment
fr_CA,fr_CI	Adjust beatgrid to match another playing deck.
fr_CA,fr_CI	Quantize Mode
fr_CA,fr_CI	Beat Sync One-Shot
fr_CA,fr_CI	Sync Tempo One-Shot
fr_CA,fr_CI	Sync Phase One-Shot
fr_CA,fr_CI	Pitch control (does not affect tempo), center is original pitch
fr_CA,fr_CI	Pitch Adjust
fr_CA,fr_CI	Adjust pitch from speed slider pitch
fr_CA,fr_CI	Match musical key
fr_CA,fr_CI	Match Key
fr_CA,fr_CI	Reset Key
fr_CA,fr_CI	Resets key to original
fr_CA,fr_CI	High EQ
fr_CA,fr_CI	Main Output
fr_CA,fr_CI	Main Output Balance
fr_CA,fr_CI	Main Output Delay
fr_CA,fr_CI	Main Output Gain
fr_CA,fr_CI	Low EQ
fr_CA,fr_CI	Toggle Vinyl Control
fr_CA,fr_CI	Toggle Vinyl Control (ON/OFF)
fr_CA,fr_CI	Vinyl Control Mode
fr_CA,fr_CI	Vinyl Control Cueing Mode
fr_CA,fr_CI	Vinyl Control Passthrough
fr_CA,fr_CI	Vinyl Control Next Deck
fr_CA,fr_CI	Single deck mode - Switch vinyl control to next deck
fr_CA,fr_CI	Set Cue
fr_CA,fr_CI	Go-To Cue
fr_CA,fr_CI	Go-To Cue And Play
fr_CA,fr_CI	Go-To Cue And Stop
fr_CA,fr_CI	Preview Cue
fr_CA,fr_CI	Cue (CDJ Mode)
fr_CA,fr_CI	Stutter Cue
fr_CA,fr_CI	Go to cue point and play after release
fr_CA,fr_CI	Clear Hotcue %1
fr_CA,fr_CI	Set Hotcue %1
fr_CA,fr_CI	Jump To Hotcue %1
fr_CA,fr_CI	Jump To Hotcue %1 And Stop
fr_CA,fr_CI	Jump To Hotcue %1 And Play
fr_CA,fr_CI	Preview Hotcue %1
fr_CA,fr_CI	Loop Exit
fr_CA,fr_CI	Reloop/Exit Loop
fr_CA,fr_CI	Loop Halve
fr_CA,fr_CI	Loop Double
fr_CA,fr_CI	Move Loop +%1 Beats
fr_CA,fr_CI	Move Loop -%1 Beats
fr_CA,fr_CI	Append the selected track to the Auto DJ Queue
fr_CA,fr_CI	Prepend selected track to the Auto DJ Queue
fr_CA,fr_CI	Load Track
fr_CA,fr_CI	Load selected track
fr_CA,fr_CI	Load selected track and play
